"Ephemeris Data for Mercury Observations From Kitt Peak, AZ; McMath Observatory; All data for 20:00 UTC",,,,,,,,,,,,,,,,,
DateObs,Time,Sun_Data,Illum%,Def_illu,Ang-diam,Ob-lon,Ob-lat,Sl-lon,Sl-lat,r,rdot,delta,deldot,S-O-T,/r,S-T-O,True_Anom
1988-Jul-06,20:00,*,37.162,4.9818,7.928007,240.87,7.05,345.86,-0.03,0.383017561,-9.9356104,0.848598273,37.5663786,21.3532,/L,104.8723,261.0252
1988-Jul-07,20:00,*m,39.816,4.6518,7.729244,246.01,6.95,347.85,-0.02,0.377252315,-10.023157,0.870420568,38.3697223,21.3027,/L,101.7471,265.1777
1988-Jul-08,20:00,*m,42.548,4.3299,7.536497,251.07,6.84,349.7,-0.02,0.371451402,-10.058317,0.892681718,39.0835189,21.1793,/L,98.566,269.4597
1988-Jul-09,20:00,*m,45.358,4.0162,7.350037,256.06,6.74,351.42,-0.02,0.365646606,-10.0357404,0.915327682,39.6985248,20.9841,/L,95.3216,273.8775
1988-Jul-10,20:00,*m,48.245,3.7109,7.170097,260.98,6.64,353,-0.02,0.359872857,-9.9498934,0.938298704,40.2041877,20.718,/L,92.0066,278.4376
1988-Jul-11,20:00,*m,51.205,3.4142,6.996872,265.82,6.54,354.43,-0.02,0.354168307,-9.7951817,0.961528565,40.5887132,20.3822,/L,88.6144,283.1456
1988-Jul-12,20:00,*m,54.232,3.1262,6.830534,270.6,6.44,355.71,-0.01,0.348574314,-9.5661183,0.984943911,40.8392162,19.9779,/L,85.1391,288.0063
1988-Jul-13,20:00,*m,57.32,2.8473,6.671229,275.3,6.34,356.83,-0.01,0.343135322,-9.2575445,1.00846369,40.9419805,19.5063,/L,81.576,293.0234
1988-Jul-14,20:00,*m,60.458,2.5778,6.51909,279.94,6.25,357.79,-0.01,0.337898596,-8.8649064,1.031998774,40.8828447,18.9689,/L,77.9214,298.1991
1988-Jul-15,20:00,*m,63.632,2.3182,6.37423,284.51,6.16,358.6,0,0.332913775,-8.3845845,1.055451851,40.6477342,18.3674,/L,74.1735,303.5339
1988-Jul-16,20:00,*m,66.824,2.0691,6.23675,289.02,6.07,359.24,0,0.328232231,-7.8142696,1.078717663,40.2233434,17.7038,/L,70.3324,309.026
1988-Jul-17,20:00,*m,70.013,1.8312,6.106737,293.47,5.99,359.74,0,0.323906195,-7.1533647,1.101683678,39.5979615,16.9803,/L,66.4004,314.6709
1988-Jul-18,20:00,*m,73.174,1.6053,5.98426,297.86,5.91,0.08,0.01,0.319987652,-6.4033835,1.124231276,38.7624091,16.1997,/L,62.3825,320.4615
1988-Jul-19,20:00,*m,76.28,1.3922,5.869371,302.19,5.83,0.3,0.01,0.316527019,-5.568304,1.146237494,37.711027,15.3651,/L,58.2865,326.3873
1988-Jul-20,20:00,*m,79.298,1.1928,5.762096,306.47,5.76,0.39,0.01,0.313571638,-4.6548277,1.167577335,36.4426295,14.4801,/L,54.1233,332.4345
1988-Jul-21,20:00,*m,82.198,1.008,5.662438,310.7,5.7,0.38,0.02,0.311164168,-3.6724909,1.18812659,34.9613114,13.5488,/L,49.9066,338.5861
1988-Jul-22,20:00,*,84.947,0.8385,5.570365,314.89,5.63,0.28,0.02,0.309340956,-2.6335822,1.207765059,33.2769878,12.5759,/L,45.6531,344.822
1988-Jul-23,20:00,*,87.513,0.685,5.485814,319.04,5.58,0.12,0.02,0.30813053,-1.5528377,1.226379972,31.4055547,11.5666,/L,41.382,351.1194
1988-Jul-24,20:00,*,89.869,0.548,5.408681,323.15,5.53,359.92,0.03,0.307552323,-0.4469132,1.243869381,29.3685952,10.5264,/L,37.1147,357.4535
1988-Jul-25,20:00,*,91.99,0.4276,5.338823,327.24,5.48,359.72,0.03,0.307615768,0.6663351,1.260145243,27.1926115,9.4615,/L,32.8747,3.7983
1988-Jul-26,20:00,*,93.861,0.3239,5.276059,331.3,5.44,359.53,0.03,0.308319839,1.7686947,1.275135933,24.9078322,8.3788,/L,28.6868,10.1273
1988-Jul-27,20:00,*,95.468,0.2366,5.22017,335.35,5.4,359.38,0.03,0.309653106,2.8424803,1.288787977,22.5467146,7.2856,/L,24.5778,16.4147
1988-Jul-28,20:00,*,96.808,0.165,5.170905,339.39,5.37,359.29,0.03,0.311594278,3.8713604,1.301066867,20.1423086,6.191,/L,20.5774,22.6359
1988-Jul-29,20:00,*,97.884,0.1085,5.127983,343.41,5.34,359.3,0.03,0.314113193,4.8410423,1.311956938,17.7266652,5.1064,/L,16.7225,28.7687
1988-Jul-30,20:00,*,98.704,0.066,5.091104,347.44,5.32,359.41,0.03,0.317172144,5.7397593,1.321460385,15.3294533,4.05,/L,13.068,34.7936
1988-Jul-31,20:00,*,99.282,0.0363,5.059954,351.47,5.3,359.65,0.04,0.320727426,6.55853,1.329595564,12.9768985,3.0565,/L,9.7183,40.6941
1988-Oct-01,20:00,*,19.892,7.5111,9.376218,291.1,6.19,163.82,-0.03,0.388542315,-9.8058334,0.717527324,-22.4762785,18.0541,/T,127.0305,257.1181
1988-Oct-02,20:00,*m,16.903,7.9292,9.542092,297.67,6.17,165.93,-0.03,0.382837848,-9.9393177,0.705054272,-20.7071585,16.6646,/T,131.4533,261.1527
1988-Oct-03,20:00,*m,13.961,8.3444,9.698427,304.37,6.13,167.91,-0.02,0.377069792,-10.0253235,0.693689021,-18.6177406,15.1451,/T,136.1242,265.31
1988-Oct-04,20:00,*m,11.12,8.7469,9.841234,311.2,6.08,169.76,-0.02,0.371267034,-10.0587561,0.683622852,-16.1855683,13.4975,/T,141.0461,269.597
1988-Oct-05,20:00,*m,8.445,9.1244,9.966092,318.16,6.01,171.48,-0.02,0.365461484,-10.0342555,0.675058272,-13.3946942,11.7277,/T,146.2163,274.0201
1988-Oct-06,20:00,*m,6.01,9.4632,10.06831,325.24,5.92,173.05,-0.02,0.359688202,-9.9462824,0.668204433,-10.2386189,9.8478,/T,151.6226,278.5857
1988-Oct-07,20:00,*m,3.896,9.748,10.14321,332.42,5.81,174.48,-0.02,0.353985472,-9.7892416,0.663270811,-6.7233282,7.8777,/T,157.2374,283.2993
1988-Oct-08,20:00,*m,2.187,9.9636,10.18639,339.69,5.68,175.75,-0.01,0.348394782,-9.5576525,0.660459192,-2.8700364,5.8525,/T,162.9978,288.1658
